Question,Answer,
"I have accepted my offer, when can I enrol",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2274/,1
I have not coping with my exams. Who can I talk to,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1295/,2
What do I do if I missed my exam,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2051/,3
"What is a replacement examination, assessment extension or additional assessment and how do I apply for one",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2052/,4
What do 'LLB' and 'LLM' stand for,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2822/,5
What mark and grade scheme does the University use,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2821/,6
How do I enrol into my classes,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1153/,7
What happens if I fail a course,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1194/,8
"What does conferral mean, and what is the difference between conferral and completion",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1620/,9
How do Withdraw No Fails (WNF) and Withdraw Fails (WF) affect my Grade Point Average (GPA),https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1684/,10
When do I find out my exam results,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2062/,11
What is a grade point average (GPA) and how is it calculated,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1439/,12
What courses are available during summer or winter school and how do I enrol in them,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1216/,13
What is the difference between a core course and an elective,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2785/,14
"What is the difference between a program, unit and course",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2899/,15
Is Microsoft Office 365 available for students and staff,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2823/,16
What's the difference between part-time and full-time study,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2872/,17
Am I eligible for an additional assessment if I have failed the exam for the last subject of my program,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2061/,18
Can a fail grade be removed from my academic transcript,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1553/,19
What University software is available for download on my personal computer,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1720/,20
How many units does a subject have,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1165/,21
How do I make an application for a retrospective Withdraw No Fail (WNF) due to extenuating circumstances,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1201/,22
What is a supplementary exam,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2053/,23
When can I enrol in summer or winter school,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1219/,24
How do I top up my printing allowance,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1715/,25
When will I be at risk of my CoE being cancelled,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1255/,26
How many hours a week do I need to be at University,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1143/,27
How do I take a break from study,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2787/,28
How will I know if I am at risk of not making satisfactory academic progress,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1144/,29
How do I plan my timetable,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1157/,30
What is the difference between an exchange program and a study abroad program,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2570/,31
How can I resolve a timetable clash,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1159/,32
Can I transfer to another degree,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1202/,33
Is there a Justice of the Peace who can certify my documents on campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1427/,34
How can I invite my family or friends to visit me in Australia,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1269/,35
I am an international student. Can my family work in Australia while I am studying,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1253/,36
How do I change my name officially,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1420/,37
What's my student email address,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1731/,38
How is my engineering Honours grade calculated,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1818/,39
How do I drop a course,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1817/,40
What is the difference between a semester and a trimester,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1134/,41
What are the different types of classes,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1193/,42
How do I order an official academic transcript,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1544/,43
Can I still access my University email and Access Adelaide after finishing my studies,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1609/,44
Can I get extra help with my studies if I am failing my course,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1505/,45
Can I study part-time,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1122/,46
How can I overload,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1148/,47
"How do I know if I’ve been granted a Replacement Examination, Assessment Extension or Additional Assessment",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2059/,48
How do I get in contact with my faculty,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2875/,49
I have completed a PhD. When can I call myself Doctor,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1599/,50
How do I order a replacement ID card,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2916/,51
"If I've accepted my SATAC offer, haveÂ enrolled but now want to defer, what should I do",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1145/,52
What are my options in applying for a scholarship if I am experiencing financial hardship,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1375/,53
How many summer or winter school courses can I enrol in,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1213/,54
I have lost my Confirmation of Enrolment (CoE). What should I do,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1257/,55
How do I change my bank account details for scholarship payments,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1402/,56
What is the correct abbreviation of my award title to place after my name,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1619/,57
"Under what circumstances can I apply for an Assessment Extension, Replacement Examination or Additional Assessment",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2054/,58
What electives should I study,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2882/,59
Is there a lost property service on campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1659/,60
How do I get a student ID card,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1695/,61
What after-hours car parking is available on campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1670/,62
Where is International Student Support (ISS) and what services are provided by ISS,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1272/,63
What do I need to bring with me to an exam,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2067/,64
How do I get to Roseworthy/North Terrace/Waite campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1667/,65
Where can I find my study plan,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2881/,66
Can I apply for credit from previous studies,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1116/,67
How do I hire a locker in Hub Central,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1665/,68
When will I receive my scholarship payments,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1404/,69
Where can I go to get course advice if I'm thinking of changing my degree,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1557/,70
When will I find out the outcome of my scholarship application,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1408/,71
What does CBL mean,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1929/,72
What should I expect when sitting an exam at the Wayville Pavilion venue,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2048/,73
How quickly can I get my official academic transcript,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2335/,74
How can I change my contact details,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1418/,75
Can I get extensions on assignments,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1432/,76
I have received a Risk 1 Notice. Where can I get some help,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2331/,77
How can I order an official letter from the University,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2774/,78
What's the difference between an official and unofficial academic transcript,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1547/,79
What are some things that may affect my scholarship,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2895/,80
Will I get charged if I drop my course after census date,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1369/,81
How do I forward my student email to another email account,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1746/,82
What does it mean to have a Negative Service Indicator on my account,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1360/,83
Is it possible to use a preferred name at Uni,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2861/,84
What do I do if I need to change to part-time study but my scholarship requires a full-time enrolment,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1392/,85
How do I renew my student ID card,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1698/,86
What is the Academic Progress by Coursework Students Policy and how could it affect me,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1416/,87
How do I get access to a particular building on campus,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1692/,88
Where can I start looking for employment,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1564/,89
Where can I access past exam papers for study purposes,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2049/,90
Why are domestic and international student fees different,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1367/,91
How can I pay my fees,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1776/,92
Can I extend my Confirmation of Enrolment,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1115/,93
"If I am taking my final course in summer or winter school, can I still graduate in the next round of graduations",https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1611/,94
How do I apply to graduate,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1591/,95
What is Studiosity,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2925/,96
What official documents can I get upon completing my program,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2863/,97
Where is the Wayville Pavilion,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2047/,98
Where can I buy my textbooks,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2342/,99
Do I need to apply for travel insurance for my Study Overseas experience,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2554/,100
How much does it cost to graduate,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1576/,101
Is there a North Terrace campus shuttle bus service after hours escort,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2341/,102
What happens if someone is caught cheating in an exam,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2073/,103
How do I make an appointment to see a counsellor,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1287/,104
What are the contact hours for summer or winter school,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1215/,105
Am I eligible for Commonwealth support and HECS-HELP,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2179/,106
Where are Security Services located,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1663/,107
What should I do after receiving a notice for overdue fees,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1357/,108
How can I get extra help with my studies,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1763/,109
Do I need to pay for a new Confirmation of Enrolment (CoE),https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1371/,110
What is the difference between leave of absence and study leave for higher degree by research students,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1107/,111
I want to see the original exam paper that I sat for. How can I get access to this,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2065/,112
How much are my course fees,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1344/,113
What are the deadlines for course changes,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1191/,114
What do I do if I'm no longer able to attend my exam,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2896/,115
I'm unable to print.,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/1710/,116
